Time,kVARh,kWh,Power_Factor
598,51.75,115.199999,0.913023
599,75.57,133.379998,0.870409833333333
600,84.18,160.049996,0.884863230769231
601,72,125.879997,0.868042363636364
602,78.54,136.949997,0.86744025
603,79.02,148.529997,0.882693416666667
604,78.87,136.919996,0.86649325
605,80.7,137.639997,0.862636916666667
606,79.68,147.839997,0.879953583333333
607,124.439998,178.259994,0.820606666666667
608,158.129999,222.209992,0.814500416666667
609,167.279998,253.499998,0.834488
610,164.069994,250.769995,0.836643333333334
611,168.509997,258.329993,0.837544166666667
612,168.959998,275.369995,0.852269416666667
613,169.02,266.009999,0.844028333333333
614,171.119998,254.009996,0.8292225
615,169.679996,249.17999,0.82637875
616,164.999996,225.059997,0.806543333333333
617,73.29,132.719998,0.880115833333333
618,92.16,160.679994,0.867265916666667
619,95.04,149.399997,0.843745916666667
620,94.38,149.039998,0.844844916666667
621,85.32,152.879998,0.873026916666667
622,83.61,140.459999,0.859289583333334
623,83.7,140.639997,0.8593295
624,90.9,162.449996,0.872035615384615
625,77.04,130.469996,0.860848818181818
626,85.14,141.419996,0.856700916666667
627,84.12,143.849997,0.862931333333333
628,83.01,149.129997,0.873375666666667
629,105.12,159.029996,0.840859416666667
630,179.639995,222.209994,0.777662333333333
631,172.079997,256.799993,0.829280583333333
632,168.059995,265.409992,0.844647416666667
633,167.279998,296.609989,0.8705965
634,166.799996,320.189992,0.886702083333333
635,166.499995,334.139993,0.894857666666667
636,168.149995,330.629994,0.89132125
637,168.809999,327.419995,0.888775416666667
638,168.449998,327.569993,0.889253916666667
639,166.739996,314.849987,0.88368375
640,170.549997,309.149995,0.875584916666667
641,162.989994,293.549994,0.874260333333333
642,166.289997,287.789996,0.86563775
643,166.949997,272.369995,0.8525485
644,168.899997,265.979994,0.844105916666667
645,96.66,206.039993,0.90625675
646,53.16,149.249998,0.94252025
647,51.03,127.979997,0.928632583333333
648,51.39,135.599999,0.934781076923077
649,42.63,102.689998,0.92358
650,47.73,112.29,0.92029925
651,48.81,118.649998,0.924319833333333
652,47.94,118.139996,0.926329833333333
653,135.809997,185.519997,0.82464925
654,173.279996,223.529996,0.790273333333333
